StateUT,District,YEAR,MURDER,ATTEMPT TO MURDER,RAPE
Andhra Pradesh,Adilabad,2001,101,60,50
Andhra Pradesh,Anantapur,2001,151,125,23
Andhra Pradesh,Chittoor,2001,101,57,27
Andhra Pradesh,Cuddapah,2001,80,53,20
Andhra Pradesh,East Godavari,2001,82,67,23
Andhra Pradesh,Guntakal Rly.,2001,3,1,0
Andhra Pradesh,Guntur,2001,182,88,54
Andhra Pradesh,Hyderabad City,2001,111,113,37
Andhra Pradesh,Karimnagar,2001,162,85,56
Andhra Pradesh,Khammam,2001,93,60,47
Andhra Pradesh,Krishna,2001,65,51,37
Andhra Pradesh,Kurnool,2001,133,72,29
Andhra Pradesh,Mahaboobnagar,2001,157,67,59
Andhra Pradesh,Medak,2001,101,56,35
Andhra Pradesh,Nalgonda,2001,122,60,35
Andhra Pradesh,Nellore,2001,89,69,46
Andhra Pradesh,Nizamabad,2001,106,49,21
Andhra Pradesh,Prakasham,2001,102,82,19
Andhra Pradesh,Ranga Reddy,2001,214,95,72
Andhra Pradesh,Secunderabad Rly.,2001,6,0,0
Andhra Pradesh,Srikakulam,2001,38,10,8
Andhra Pradesh,Vijayawada,2001,53,44,25
Andhra Pradesh,Vijayawada Rly.,2001,2,1,1
Andhra Pradesh,Visakha Rural,2001,58,29,12
Andhra Pradesh,Visakhapatnam,2001,22,10,13
Andhra Pradesh,Vizianagaram,2001,33,14,8
Andhra Pradesh,Warangal,2001,158,79,53
Andhra Pradesh,West Godavari,2001,77,58,61
Andhra Pradesh,Total,2001,2602,1555,871
Arunachal Pradesh,Changlang,2001,11,2,1
Arunachal Pradesh,Dibang Valley,2001,3,5,2
Arunachal Pradesh,Kameng East,2001,3,1,2
Arunachal Pradesh,Kameng West,2001,4,2,0
Arunachal Pradesh,Lohit,2001,16,6,2
Arunachal Pradesh,Papum Pare,2001,11,8,9
Arunachal Pradesh,Siang East,2001,7,0,5
Arunachal Pradesh,Siang Upper,2001,1,1,2
Arunachal Pradesh,Siang West,2001,5,14,4
Arunachal Pradesh,Subansiri Lower,2001,8,10,2
Arunachal Pradesh,Subansiri Upper,2001,4,0,2
Arunachal Pradesh,Tawang,2001,2,0,1
Arunachal Pradesh,Tirap,2001,8,4,1
Assam,Barpeta,2001,64,5,28
Assam,Bongaigaon,2001,45,22,20
Assam,C.I.D.,2001,0,0,0
Assam,Cachar,2001,52,30,45
Assam,Darrang,2001,61,13,48
Assam,Dhemaji,2001,15,16,42
Assam,Dhubri,2001,65,23,43
Assam,Dibrugarh,2001,110,22,35
Assam,G.R.P.,2001,13,1,1
Assam,Goalpara,2001,28,12,35
Assam,Golaghat,2001,53,2,30
Assam,Guwahati City,2001,71,44,37
Assam,Hailakandi,2001,18,4,24
Assam,Jorhat,2001,40,22,42
Assam,Kamrup,2001,37,30,21
Assam,Karbi Anglong,2001,65,26,5
Assam,Karimganj,2001,32,20,33
Assam,Kokrajhar,2001,87,27,14
Assam,Lakhimpur,2001,26,21,64
Assam,Morigaon,2001,20,9,23
Assam,N.C.Hills,2001,17,8,2
Assam,Nagaon,2001,95,22,51
Assam,Nalbari,2001,79,36,30
Assam,R.P.O.,2001,11,0,3
Assam,Sibsagar,2001,59,24,47
Assam,Sonitpur,2001,86,25,53
Assam,Tinsukia,2001,107,17,41
Bihar,Araria,2001,47,27,93
Bihar,Arwal,2001,37,64,0
Bihar,Aurangabad,2001,74,46,16
Bihar,Bagaha,2001,34,67,25
Bihar,Banka,2001,93,16,34
Bihar,Begusarai,2001,124,77,13
Bihar,Bettiah,2001,66,9,20
Bihar,Bhabhua,2001,41,25,10
Bihar,Bhagalpur,2001,128,73,35
Bihar,Bhojpur,2001,135,33,22
Bihar,Buxar,2001,56,38,8
Bihar,Darbhanga,2001,53,64,19
Bihar,Gaya,2001,200,170,25
Bihar,Gopalganj,2001,107,92,13
Bihar,Jamalpur Rly.,2001,7,0,1
Bihar,Jamui,2001,67,74,10
Bihar,Jehanabad,2001,73,80,6
Bihar,Katihar,2001,60,47,51
Bihar,Katihar Rly.,2001,7,0,0
Bihar,Khagaria,2001,72,27,5
Bihar,Kishanganj,2001,25,15,22
Bihar,Lakhisarai,2001,61,44,10
Bihar,Madhepura,2001,56,23,11
